,0
2022-02-16,887429.0815105955
2022-02-17,887429.0815105955
2022-02-18,887429.0815105955
2022-02-19,887429.0815105955
2022-02-20,887429.0815105955
2022-02-21,887429.0815105955
2022-02-22,887429.0815105955
2022-02-23,887429.0815105955
2022-02-24,880165.0450668948
2022-02-25,880165.0450668948
2022-02-26,880165.0450668948
2022-02-27,880165.0450668948
2022-02-28,876684.084259081
2022-03-01,876684.084259081
2022-03-02,876684.084259081
2022-03-03,876684.084259081
2022-03-04,876684.084259081
2022-03-05,876684.084259081
2022-03-06,876684.084259081
2022-03-07,876684.084259081
2022-03-08,876684.084259081
2022-03-09,876684.084259081
2022-03-10,876684.084259081
2022-03-11,876684.084259081
2022-03-12,876684.084259081
2022-03-13,863419.3508433683
2022-03-14,863419.3508433683
2022-03-15,863419.3508433683
2022-03-16,853289.6504420583
2022-03-17,1000000.0
2022-03-18,1000000.0
2022-03-19,1000000.0
2022-03-20,1000000.0
2022-03-21,1000000.0
2022-03-22,1008509.3811428318
2022-03-23,986541.756042425
2022-03-24,974553.2051779439
2022-03-25,974553.2051779439
2022-03-26,974553.2051779439
2022-03-27,974553.2051779439
2022-03-28,974553.2051779439
2022-03-29,974553.2051779439
2022-03-30,974553.2051779439
2022-03-31,974553.2051779439
2022-04-01,974553.2051779439
2022-04-02,974553.2051779439
2022-04-03,974553.2051779439
2022-04-04,974553.2051779439
2022-04-05,974553.2051779439
2022-04-06,974553.2051779439
2022-04-07,974553.2051779439
2022-04-08,974553.2051779439
2022-04-09,974553.2051779439
2022-04-10,974553.2051779439
2022-04-11,974553.2051779439
2022-04-12,974553.2051779439
2022-04-13,974553.2051779439
2022-04-14,974553.2051779439
2022-04-15,974553.2051779439
2022-04-16,963568.4988848991
2022-04-17,963568.4988848991
2022-04-18,963568.4988848991
2022-04-19,959853.212782152
2022-04-20,959853.212782152
2022-04-21,959853.212782152
2022-04-22,959853.212782152
2022-04-23,959853.212782152
2022-04-24,959853.212782152
2022-04-25,959853.212782152
2022-04-26,959853.212782152
2022-04-27,959853.212782152
2022-04-28,959853.212782152
2022-04-29,959853.212782152
2022-04-30,959853.212782152
2022-05-01,949979.0107792189
2022-05-02,949979.0107792189
2022-05-03,949979.0107792189
2022-05-04,949979.0107792189
2022-05-05,949979.0107792189
2022-05-06,949979.0107792189
2022-05-07,949979.0107792189
2022-05-08,948763.83684164
2022-05-09,948763.83684164
2022-05-10,948763.83684164
2022-05-11,942110.9778338183
2022-05-12,942110.9778338183
2022-05-13,942110.9778338183
2022-05-14,942110.9778338183
2022-05-15,935217.8381916535
2022-05-16,935217.8381916535
2022-05-17,935217.8381916535
2022-05-18,935217.8381916535
2022-05-19,935217.8381916535
2022-05-20,927980.6164231411
2022-05-21,927980.6164231411
2022-05-22,927980.6164231411
2022-05-23,924146.2791551438
2022-05-24,924146.2791551438
2022-05-25,924146.2791551438
2022-05-26,924146.2791551438
2022-05-27,924146.2791551438
2022-05-28,924146.2791551438
2022-05-29,915450.7780943193
2022-05-30,915450.7780943193
2022-05-31,915450.7780943193
2022-06-01,906820.2861165429
2022-06-02,899133.1264177389
2022-06-03,899133.1264177389
2022-06-04,899133.1264177389
2022-06-05,899133.1264177389
2022-06-06,899133.1264177389
2022-06-07,888544.4951908841
2022-06-08,888544.4951908841
2022-06-09,888544.4951908841
2022-06-10,888544.4951908841
2022-06-11,881450.4048167835
2022-06-12,881450.4048167835
2022-06-13,881450.4048167835
2022-06-14,881450.4048167835
2022-06-15,881450.4048167835
2022-06-16,881450.4048167835
2022-06-17,881450.4048167835
2022-06-18,874402.8942932095
2022-06-19,874402.8942932095
2022-06-20,874402.8942932095
2022-06-21,874402.8942932095
2022-06-22,874402.8942932095
2022-06-23,874402.8942932095
2022-06-24,874402.8942932095
2022-06-25,874402.8942932095
2022-06-26,874402.8942932095
2022-06-27,874402.8942932095
2022-06-28,874402.8942932095
2022-06-29,874402.8942932095
2022-06-30,874402.8942932095
2022-07-01,874402.8942932095
2022-07-02,874402.8942932095
2022-07-03,874402.8942932095
2022-07-04,874402.8942932095
2022-07-05,874402.8942932095
2022-07-06,874402.8942932095
2022-07-07,874402.8942932095
2022-07-08,866912.2064362888
2022-07-09,866912.2064362888
2022-07-10,866912.2064362888
2022-07-11,857967.1595403441
2022-07-12,857967.1595403441
2022-07-13,857967.1595403441
2022-07-14,857967.1595403441
2022-07-15,857967.1595403441
2022-07-16,857967.1595403441
2022-07-17,857967.1595403441
2022-07-18,857967.1595403441
2022-07-19,857967.1595403441
2022-07-20,857967.1595403441
2022-07-21,857967.1595403441
2022-07-22,857967.1595403441
2022-07-23,857967.1595403441
2022-07-24,850758.782059523
2022-07-25,850758.782059523
2022-07-26,850758.782059523
2022-07-27,850758.782059523
2022-07-28,1000000.0
2022-07-29,1000000.0
2022-07-30,1000000.0
2022-07-31,1000000.0
2022-08-01,1000000.0
2022-08-02,1000000.0
2022-08-03,1000000.0
2022-08-04,1000000.0
2022-08-05,1000000.0
2022-08-06,1000000.0
2022-08-07,1000000.0
2022-08-08,1000000.0
2022-08-09,992939.9654355396
2022-08-10,992939.9654355396
2022-08-11,992939.9654355396
2022-08-12,977978.7719737944
2022-08-13,977978.7719737944
2022-08-14,977978.7719737944
2022-08-15,977978.7719737944
2022-08-16,977978.7719737944
2022-08-17,977978.7719737944
2022-08-18,977978.7719737944
2022-08-19,972491.3423106575
2022-08-20,972491.3423106575
2022-08-21,972491.3423106575
2022-08-22,972491.3423106575
2022-08-23,972491.3423106575
2022-08-24,972491.3423106575
2022-08-25,972491.3423106575
2022-08-26,972491.3423106575
2022-08-27,972491.3423106575
2022-08-28,972491.3423106575
2022-08-29,972491.3423106575
2022-08-30,972491.3423106575
2022-08-31,972491.3423106575
2022-09-01,1000000.0
2022-09-02,1000000.0
2022-09-03,1000000.0
2022-09-04,1000000.0
2022-09-05,993353.0631440221
2022-09-06,993353.0631440221
2022-09-07,993353.0631440221
2022-09-08,985612.6427112796
2022-09-09,985612.6427112796
2022-09-10,985612.6427112796
2022-09-11,985612.6427112796
2022-09-12,985612.6427112796
2022-09-13,985612.6427112796
2022-09-14,985612.6427112796
2022-09-15,985612.6427112796
2022-09-16,985612.6427112796
2022-09-17,985612.6427112796
2022-09-18,985612.6427112796
2022-09-19,985612.6427112796
2022-09-20,985612.6427112796
2022-09-21,985612.6427112796
2022-09-22,985612.6427112796
2022-09-23,985612.6427112796
2022-09-24,985612.6427112796
2022-09-25,985612.6427112796
2022-09-26,985612.6427112796
2022-09-27,985612.6427112796
2022-09-28,985612.6427112796
2022-09-29,973418.3836309959
2022-09-30,966377.4904419301
2022-10-01,966377.4904419301
2022-10-02,966377.4904419301
2022-10-03,966377.4904419301
2022-10-04,966377.4904419301
2022-10-05,966377.4904419301
2022-10-06,966377.4904419301
2022-10-07,966377.4904419301
2022-10-08,966377.4904419301
2022-10-09,966377.4904419301
2022-10-10,966377.4904419301
2022-10-11,966377.4904419301
2022-10-12,966377.4904419301
2022-10-13,966377.4904419301
2022-10-14,966377.4904419301
2022-10-15,957973.534989167
2022-10-16,957973.534989167
2022-10-17,949367.2182657183
2022-10-18,949367.2182657183
2022-10-19,949367.2182657183
2022-10-20,949367.2182657183
2022-10-21,943953.1771518765
2022-10-22,943953.1771518765
2022-10-23,943953.1771518765
2022-10-24,943953.1771518765
2022-10-25,943953.1771518765
2022-10-26,943953.1771518765
2022-10-27,943953.1771518765
2022-10-28,943953.1771518765
2022-10-29,943953.1771518765
2022-10-30,943953.1771518765
2022-10-31,943953.1771518765
2022-11-01,943953.1771518765
2022-11-02,943953.1771518765
2022-11-03,943953.1771518765
2022-11-04,943953.1771518765
2022-11-05,943953.1771518765
2022-11-06,943953.1771518765
2022-11-07,943953.1771518765
2022-11-08,943953.1771518765
2022-11-09,943953.1771518765
2022-11-10,943953.1771518765
2022-11-11,943953.1771518765
2022-11-12,943953.1771518765
2022-11-13,943953.1771518765
2022-11-14,943953.1771518765
2022-11-15,943953.1771518765
2022-11-16,943953.1771518765
2022-11-17,943953.1771518765
2022-11-18,943953.1771518765
2022-11-19,943953.1771518765
2022-11-20,943953.1771518765
2022-11-21,936637.8598059221
2022-11-22,936637.8598059221
2022-11-23,926947.1159091027
2022-11-24,926947.1159091027
2022-11-25,926947.1159091027
2022-11-26,926947.1159091027
2022-11-27,926947.1159091027
2022-11-28,919311.3347967498
2022-11-29,914878.2032379741
2022-11-30,914878.2032379741
2022-12-01,911685.1734676776
2022-12-02,911685.1734676776
2022-12-03,911685.1734676776
2022-12-04,911685.1734676776
2022-12-05,911685.1734676776
2022-12-06,911685.1734676776
2022-12-07,911685.1734676776
2022-12-08,904620.5814758474
2022-12-09,904620.5814758474
2022-12-10,904620.5814758474
2022-12-11,904620.5814758474
2022-12-12,904620.5814758474
2022-12-13,904620.5814758474
2022-12-14,904620.5814758474
2022-12-15,904620.5814758474
2022-12-16,904620.5814758474
2022-12-17,904620.5814758474
2022-12-18,897697.2552988182
2022-12-19,897697.2552988182
2022-12-20,887829.6590756238
2022-12-21,887829.6590756238
2022-12-22,887829.6590756238
2022-12-23,887829.6590756238
2022-12-24,882140.0232482096
2022-12-25,876059.1266088656
2022-12-26,876059.1266088656
2022-12-27,876059.1266088656
2022-12-28,876059.1266088656
2022-12-29,876059.1266088656
2022-12-30,876059.1266088656
2022-12-31,876059.1266088656
2023-01-01,876059.1266088656
2023-01-02,876059.1266088656
2023-01-03,876059.1266088656
2023-01-04,876059.1266088656
2023-01-05,876059.1266088656
2023-01-06,876059.1266088656
2023-01-07,876059.1266088656
2023-01-08,876059.1266088656
2023-01-09,876059.1266088656
2023-01-10,876059.1266088656
2023-01-11,876059.1266088656
2023-01-12,876059.1266088656
2023-01-13,876059.1266088656
2023-01-14,876059.1266088656
